match_id,season,phase,match_no,date,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder,tournament_year,source_file,over_no,ball_no,ball_runs,wicket_event,legal_delivery,current_score,current_wickets,balls_bowled,balls_remaining,wickets_remaining,current_run_rate,run_rate,last_30_runs,winner,target,first_innings_total,second_innings_total,runs_required,required_run_rate,pressure_index,projected_score,win_probability
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,4.2,R Mutumbami,Tanwir Afzal,0,0,0,0,0.0,0,caught,R Mutumbami,Nadeem Ahmed,2016,t20_wc_2016_deliveries.csv,4,2,0,1,1,38,2,26,94,8,8.76923076923077,8.76923076923077,38.0,ZIM,159.0,158.0,144.0,,,-0.0692307692307701,156.2854461669922,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,4.3,V Sibanda,Tanwir Afzal,0,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,4,3,0,0,1,38,2,27,93,8,8.444444444444445,8.444444444444445,38.0,ZIM,159.0,158.0,144.0,,,0.2555555555555553,156.2854461669922,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,4.4,V Sibanda,Tanwir Afzal,0,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,4,4,0,0,1,38,2,28,92,8,8.142857142857142,8.142857142857142,38.0,ZIM,159.0,158.0,144.0,,,0.5571428571428576,157.33001708984375,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,4.5,V Sibanda,Tanwir Afzal,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,4,5,1,0,1,39,2,29,91,8,8.068965517241379,8.068965517241379,39.0,ZIM,159.0,158.0,144.0,,,0.631034482758621,156.8529815673828,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,4.6,SC Williams,Tanwir Afzal,4,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,4,6,4,0,1,43,2,30,90,8,8.6,8.6,43.0,ZIM,159.0,158.0,144.0,,,0.1000000000000003,156.30323791503906,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,5.1,V Sibanda,Nadeem Ahmed,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,5,1,1,0,1,44,2,31,89,8,8.516129032258064,8.516129032258064,44.0,ZIM,159.0,158.0,144.0,,,0.1838709677419359,156.30323791503906,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,5.2,SC Williams,Nadeem Ahmed,2,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,5,2,2,0,1,46,2,32,88,8,8.625,8.625,46.0,ZIM,159.0,158.0,144.0,,,0.0749999999999999,156.0495147705078,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,5.3,SC Williams,Nadeem Ahmed,4,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,5,3,4,0,1,50,2,33,87,8,9.090909090909092,9.090909090909092,50.0,ZIM,159.0,158.0,144.0,,,-0.3909090909090917,157.0722198486328,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,5.4,SC Williams,Nadeem Ahmed,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,5,4,1,0,1,51,2,34,86,8,9.0,9.0,50.0,ZIM,159.0,158.0,144.0,,,-0.3,157.0722198486328,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,5.5,V Sibanda,Nadeem Ahmed,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,5,5,1,0,1,52,2,35,85,8,8.914285714285715,8.914285714285715,51.0,ZIM,159.0,158.0,144.0,,,-0.2142857142857146,156.94699096679688,
1,2016,Powerplay,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,5.6,SC Williams,Nadeem Ahmed,1,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,5,6,1,0,1,53,2,36,84,8,8.833333333333334,8.833333333333334,52.0,ZIM,159.0,158.0,144.0,,,-0.1333333333333339,157.73731994628906,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,6.1,SC Williams,Tanwir Afzal,0,0,0,0,0.0,0,bowled,SC Williams,,2016,t20_wc_2016_deliveries.csv,6,1,0,1,1,53,3,37,83,7,8.594594594594595,8.594594594594595,52.0,ZIM,159.0,158.0,144.0,,,0.4554054054054051,157.37042236328125,
1,2016,Middle Overs,1,2016-03-08,"Vidarbha Cricket Association Stadium, Jamtha",ZIM,HK,1,6.2,Sikandar Raza,Tanwir Afzal,0,0,0,0,0.0,0,,,,2016,t20_wc_2016_deliveries.csv,6,2,0,0,1,53,3,38,82,7,8.368421052631579,8.368421052631579,48.0,ZIM,159.0,158.0,144.0,,,0.6815789473684211,157.7117919921875,
